28,MDU6SXNzdWUyMTU3ODA4NTE=,26,Request for Translations
136,MDU6SXNzdWUyOTk1MTU1MDc=,21,Spanish translation
40,MDU6SXNzdWUyMTcyMTY0MTA=,21,Brazilian Portuguese translation
4,MDU6SXNzdWUyMTI5MTk0MjU=,18,PDF Download
39,MDU6SXNzdWUyMTcyMTYzMjA=,16,Turkish translation
15,MDU6SXNzdWUyMTMyNzY2NzA=,13,Make the OmniGraffle template and diagrams available
271,MDU6SXNzdWU0MzUyNzQ2MzI=,12,Should we have a chat to help and connect members ?
127,MDU6SXNzdWUyOTAxNjkxOTk=,12,Vietnamese Translation 
102,MDU6SXNzdWUyNTc5MzIxMzA=,10,Korean Translation
100,MDU6SXNzdWUyNTc4OTI2NzQ=,10,Japanese Translation
38,MDU6SXNzdWUyMTcyMTYwNjY=,8,Simplified Chinese translation
170,MDU6SXNzdWUzNDEyMzg3OTQ=,7,Arabic translation
126,MDU6SXNzdWUyODk3OTAyMjA=,7,Anki flash cards errors
87,MDU6SXNzdWUyMzk1MTc2NzM=,7,Russian Translation
235,MDU6SXNzdWUzODE4NzcwMDM=,6,Anki Error on Launching using Ubuntu 18.10
220,MDU6SXNzdWUzNjUyNzk0ODY=,6,Bengali Translation
110,MDU6SXNzdWUyNjIxNzE3Mjc=,6,Persian Translation
344,MDU6SXNzdWU1NDIxNjAzODM=,5,"Typo in ""Load balancer"" flashcard"
278,MDU6SXNzdWU0NDE2ODM3MDA=,5,第二步：回顾可扩展性的文章对应的链接打不开
236,MDU6SXNzdWUzODI5MTg0OTc=,5,Latency numbers every programmer should know update
402,MDU6SXNzdWU2MDEwMjA2MjM=,4,"Normally, the passive server won't take over the IP address of active server in the case of failover"
171,MDU6SXNzdWUzNDEyODM3NzE=,4,Broken link
401,MDU6SXNzdWU2MDA4NDgwMTk=,3,网络爬虫核心技术教程，点此获取☞
250,MDU6SXNzdWU0MDc4MDQ3OTk=,3,French translation
228,MDU6SXNzdWUzNzYyNDY4NDA=,3,Mutex lock/unlock latency
222,MDU6SXNzdWUzNjc0MTY5OTU=,3,哈佛大学可扩展性讲座 地址无效
164,MDU6SXNzdWUzMzY0ODA1Nzc=,3,Confusing word play in the definition of AP under CAP theorem portion.
86,MDU6SXNzdWUyMzc3NDY0NjM=,3,Unit prefix in Powers of two table
44,MDU6SXNzdWUyMTgwNjM3NDU=,3,what's the drawing tool on reademe
3,MDU6SXNzdWUyMTI5MTc0MDU=,3,Repo internal links from exercises/solutions are broken
274,MDU6SXNzdWU0MzgwNjAxNDQ=,2,Question about `Redis is useful as a simple message broker but messages can be lost.`
272,MDU6SXNzdWU0MzU0MjY0ODM=,2,Hebrew translation
256,MDU6SXNzdWU0MTI4NzkyMTg=,2,Design Uber.com
254,MDU6SXNzdWU0MTE3OTMzNzM=,2,[Anki Cards] Reference Url all broken
249,MDU6SXNzdWU0MDc0MzI2Nzc=,2,Translate language list
223,MDU6SXNzdWUzNjc3NDAxMDg=,2,Anki decs not easly imported
203,MDU6SXNzdWUzNTE5Mjg3ODQ=,2,DNS layer to elect loadbalancer health
201,MDU6SXNzdWUzNTAyNjU2ODk=,2,The typesetting is too messy
148,MDU6SXNzdWUzMDUxMjU3OTM=,2,Where is 'State' defined in social_graph_snippets.py?
138,MDU6SXNzdWUzMDE2MzQ5Nzk=,2,Translation on solution part for Traditional Chinese
134,MDU6SXNzdWUyOTg0MTA4MTM=,2,Request: Adding average time-to-read with each topic/task will help in planing
90,MDU6SXNzdWUyNDA0Nzk4MTI=,2,Difference between pull and push CDN
79,MDU6SXNzdWUyMzAyMjYxNjA=,2,Inaccuracy in Twitter timeline and search example
68,MDU6SXNzdWUyMjMxMTg5NzE=,2,Polish translation
63,MDU6SXNzdWUyMjE5NDQyOTQ=,2,Efficient method to address concurrent requests in a successfully e-commerce platform
58,MDU6SXNzdWUyMjExMzYwNjU=,2,a broken link
54,MDU6SXNzdWUyMjAyNTI2NjQ=,2,Which tool has been used to create the Diagram?
32,MDU6SXNzdWUyMTY1MDc0MTQ=,2,Company architectures link to old references
31,MDU6SXNzdWUyMTYzODU2MzY=,2,Change Zookeeper as example for service discovery
7,MDU6SXNzdWUyMTI5MzIxOTQ=,2,Convert this to a Gitbook(suggestion)
