2,MDU6SXNzdWU2OTE5ODc2Nw==,41,"Output is always ""No fucks given"""
685,MDU6SXNzdWUyNTMyMDU0MDY=,37,Drop Python 2 support
322,MDU6SXNzdWU5Nzg5MzAwMA==,32,Add vagrant support
549,MDU6SXNzdWUxNzc2NDAzOTg=,25,No longer works with an alias to “git push”
302,MDU6SXNzdWU5NjI3OTcyNw==,22,How to install it on Windows?
398,MDU6SXNzdWUxMTQzNzMxOTk=,20,Can't use with out of range(128) characters
253,MDU6SXNzdWU4NzQwMjgyMg==,20,Git push on new branch
801,MDU6SXNzdWUzMTI2Nzk1ODc=,18,"Better, less profane name?"
401,MDU6SXNzdWUxMTU3NjI3ODA=,18,Rename tool to f
152,MDU6SXNzdWU3MjQwNDg3MQ==,17,Buggy o/p: When 'fuck' is coupled with 'rmdir'
1,MDU6SXNzdWU2OTE5NTM1Ng==,17,"running ""fuck"" twice almost gave me a heartattack"
273,MDU6SXNzdWU5MjkxMDA2MQ==,16,AttributeError: 'module' object has no attribute 'PY2'
161,MDU6SXNzdWU3MzM1MzY0MA==,16,TypeError: 'Process' object is not callable
153,MDU6SXNzdWU3MjQ0NTcwNA==,16,sl_ls doesn't work when sl is valid joke command - expected?
718,MDU6SXNzdWUyNjg4OTk4OTY=,15,Cannot run fuck in zsh without export errors
194,MDU6SXNzdWU3NjMwMjE0NA==,15,Python-psutil
807,MDU6SXNzdWUzMTgyNDQyMTY=,14,Not Running in Fish Shell
594,MDU6SXNzdWUyMDI4MjYxMDA=,14,Strange behaviour in Windows (Git Bash)
301,MDU6SXNzdWU5NjI3MzY5MA==,14,UnicodeEncodeError on non-english systems
147,MDU6SXNzdWU3MTk0MzEyOQ==,14,`ecoh test; fuck` causes an infinite loop.
786,MDU6SXNzdWUyOTgwMTg2ODQ=,13,"""TypeError: 'module' object is not callable"" On any invocation of thefuck"
422,MDU6SXNzdWUxMjUwMzM0MjU=,13,Shell alias clobbers some history lines
842,MDU6SXNzdWUzNjM5NzIyNjQ=,12,"""gut push"" not corrected to ""git push"""
174,MDU6SXNzdWU3NDYzNjkwOA==,12,What about of correcting history
475,MDU6SXNzdWUxMzk4MzYyOTU=,11,got commit corrects itself to go commit instead of git commit
451,MDU6SXNzdWUxMjk3NzExNTk=,11,"please add support for command line argument ""no"""
349,MDU6SXNzdWUxMDMyMDA2ODE=,11,apt install when command not found
330,MDU6SXNzdWU5OTgxNTIyNg==,11,"Add command options (--version, --help, --update/--upgrade)"
286,MDU6SXNzdWU5NDU5MDAxMw==,11,brew does not show the latest thefuck
229,MDU6SXNzdWU4MjIwODMwNA==,11,Should suggest 'git tag' when typing 'git tags' instead of 'git stage'
32,MDU6SXNzdWU2OTM0MDY5NQ==,10,Support other languages/locales than English
24,MDU6SXNzdWU2OTMwNzc3OA==,11,`thefuck/thefuck/rules/no_command.py` is not cross-platform
650,MDU6SXNzdWUyMzEzOTQ5Mjk=,10,error: zsh: command not found: thefuck
585,MDU6SXNzdWUxOTkzOTIyOTM=,10,Please put eval $(thefuck --alias) in your ~/.zshrc.
531,MDU6SXNzdWUxNjczODkzNTc=,10,allow for a flag that executes immediately
466,MDU6SXNzdWUxMzU1NjY4OTE=,10,Double quotes not preserved with fuck `git commmit`?
353,MDU6SXNzdWUxMDQyODA2MTk=,10,Command is slow
336,MDU6SXNzdWUxMDEwNDA4MjQ=,10,Needs a sudo pip install pathlib on Raspberry PI
287,MDU6SXNzdWU5NDgyOTc0Ng==,10,"OSX: ""ImportError: No module named pathlib"""
251,MDU6SXNzdWU4NTkzNDA2NA==,10,Fuck fucks itself
235,MDU6SXNzdWU4MzMwNjE4MQ==,10,cd_mkdir rule on OSX does not chain correctly
186,MDU6SXNzdWU3NTYyMjA4MA==,10,Can't execute aliases.
69,MDU6SXNzdWU2OTcwMjA4MQ==,10,TheFuck doesn't see my zsh aliases :(
58,MDU6SXNzdWU2OTU4NTcxMw==,10,does not work well with zsh...
50,MDU6SXNzdWU2OTUxNTM2Ng==,10,cd to mkdir
23,MDU6SXNzdWU2OTMwMTc1Mw==,10,Fuck. Your app doesn't work on OS X 10.10
972,MDU6SXNzdWU1MDU0ODczMzQ=,9,Support `source ~/.bashrc` when installing
902,MDU6SXNzdWU0MzQyMzk4NjY=,9,No fucks given
740,MDU6SXNzdWUyODEzOTEwNDg=,9,wrong suggestion with git push --set-upstream 
716,MDU6SXNzdWUyNjczNzUyMjU=,9,ImportError: No module named 'thefuck.entrypoints'
